End Type,Material,Length,OD,Wire Dia,Extended Lg @ Max Load,Min Load (lb),Max Load (lb),Spring Rate,Pkg Qty,Part Number,Price
Loop End,Spring Steel,0.25",0.063",0.007",0.54",0.03,0.32,1 lbf/in,5,5108N001,14.88
Loop End,Spring Steel,0.25",0.063",0.008",0.46",0.04,0.45,2 lbf/in,5,5108N006,15.15
Loop End,Spring Steel,0.25",0.063",0.009",0.4",0.06,0.62,3.7 lbf/in,5,5108N013,15.15
Loop End,Spring Steel,0.25",0.063",0.011",0.34",0.1,1.09,11.1 lbf/in,5,5108N02,14.60
Loop End,Spring Steel,0.31",0.063",0.007",0.73",0.03,0.32,0.7 lbf/in,5,5108N002,14.60
Loop End,Spring Steel,0.31",0.063",0.008",0.6",0.04,0.45,1.4 lbf/in,5,5108N007,15.15
Loop End,Spring Steel,0.31",0.063",0.009",0.52",0.06,0.62,2.7 lbf/in,5,5108N014,14.60
Loop End,Spring Steel,0.31",0.063",0.011",0.44",0.1,1.09,7.9 lbf/in,5,5108N021,14.60
Loop End,Spring Steel,0.375",0.063",0.007",0.93",0.03,0.32,0.5 lbf/in,5,5108N003,14.60
Loop End,Spring Steel,0.375",0.063",0.008",0.75",0.04,0.45,1.1 lbf/in,5,5108N008,14.60
Loop End,Spring Steel,0.375",0.063",0.009",0.65",0.06,0.62,2.1 lbf/in,5,5108N015,15.15
Loop End,Spring Steel,0.375",0.063",0.011",0.55",0.1,1.09,5.9 lbf/in,5,5108N022,15.15
Loop End,Spring Steel,0.375",0.094",0.01",0.84",0.05,0.6,1.2 lbf/in,5,5108N027,14.60
Loop End,Spring Steel,0.375",0.094",0.011",0.72",0.06,0.7,1.9 lbf/in,5,5108N034,14.60
Loop End,Spring Steel,0.375",0.094",0.012",0.66",0.1,1,3.2 lbf/in,5,5108N041,14.60
Loop End,Spring Steel,0.375",0.094",0.013",0.6",0.1,1.15,4.6 lbf/in,5,5108N048,14.60
Loop End,Spring Steel,0.375",0.094",0.014",0.57",0.17,1.5,7.1 lbf/in,5,5108N055,14.60
Loop End,Spring Steel,0.375",0.094",0.016",0.52",0.19,2.15,14.2 lbf/in,5,5108N062,14.60
Loop End,Spring Steel,0.375",0.12",0.016",0.57",0.2,1.6,7.9 lbf/in,5,5108N073,11.42
Loop End,Spring Steel,0.375",0.12",0.018",0.52",0.2,2.2,14.4 lbf/in,5,5108N083,11.85
Loop End,Spring Steel,0.5",0.063",0.007",1.12",0.03,0.32,0.4 lbf/in,5,5108N004,14.60
Loop End,Spring Steel,0.5",0.063",0.007",1.31",0.03,0.32,0.4 lbf/in,5,5108N005,14.60
Loop End,Spring Steel,0.5",0.063",0.008",0.91",0.04,0.45,0.9 lbf/in,5,5108N009,15.15
Loop End,Spring Steel,0.5",0.063",0.008",1.05",0.04,0.45,0.7 lbf/in,5,5108N01,14.60
